Genome	taxID	taxLvl	seqLvl	ANI	Completeness	Contamination	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
Piscirickettsia_salmonis_strain_PSCGR01_genomic	1238	species	species	100.00	98.81	0.00	5	3167361	39.7	82.49	3582	1238	1238	1238	1	1238	1238	1236
Shewanella_sediminis_HAW-EB3_genomic	271097	species	species	100.00	99.84	0.00	1	5517675	46.1	83.68	4655	271097	271097	271097	22	271097	271097	135622
Weissella_ceti_strain_WS74_genomic	759620	species	species	100.00	97.83	0.00	1	1389514	40.7	86.67	1350	759620	759620	759620	759620	759620	759620	186826
Shewanella_baltica_BA175_genomic	62322	species	species	100.00	99.84	0.00	3	5066051	46.1	84.21	4431	62322	62322	62322	22	62322	62322	135622
Desulfovibrio_salexigens_DSM_2638_genomic	880	species	species	100.00	100.00	0.07	1	4289848	47.1	89.01	3843	880	880	880	1	880	880	28221
Nonlabens_sp_Hel1_33_55_genomic	1336802	species	species	100.00	97.97	0.19	2	3253859	39.5	91.55	2919	1336802	1336802	1336802	1	49546	49546	1
Croceicoccus_naphthovorans_strain_PQ-2_genomic	204457	order	order	100.00	99.46	0.32	3	3543806	62.6	90.43	3881	204457	204457	1348774	1348774	41297	41297	204457
Alteromonas_sp_Mex14_genomic	1479524	species	species	96.81	99.95	0.28	1	4489448	44.2	88.03	3821	1479524	1479524	1479524	1	226	226	1236
Pseudomonas_stutzeri_CCUG_29243_genomic	316	species	species	100.00	100.00	0.14	1	4709065	62.7	89.21	4356	316	316	316	286	316	316	1236
A-H1309-4-1_S7_contigs	511678	genus	genus	92.21	99.91	0.52	327	139416	39.2	87.69	4219	511678	511678	1	2	511678	511678	641
Methanosarcina_sp_WH1_genomic	2207	genus	genus	100.00	99.84	0.00	1	3914091	41.8	74.16	3449	2207	2214	1434102	2207	2214	2214	28890
Alteromonas_macleodii_str_Ionian_Sea_U4_genomic	314275	species	species	99.82	97.70	0.59	3	4271830	44.6	87.53	4120	314275	314275	314275	1	314275	314275	1236
A-2014-70-F537_S3_contigs	645	species	species	99.70	99.46	0.54	396	44015	58.8	86.05	4457	645	645	645	1	645	645	1236
Sulfurimonas_autotrophica_DSM_16294_genomic	202747	species	species	100.00	99.18	0.00	1	2153199	35.2	93.86	2162	202747	202747	202747	1	202747	202747	2
Francisella_noatunensis_subsp_orientalis_FNO12_genomic	657445	species	species	100.00	99.43	0.57	1	1859721	32.3	87.16	2179	657445	657445	657445	1	657445	657445	1236
Thiocystis_violascens_DSM_198_genomic	73141	species	species	100.00	99.83	0.36	1	5017072	62.6	87.80	4583	73141	73141	73141	1	73141	73141	1236
Pusillimonas_sp_T7-7_genomic	1007105	species	species	100.00	100.00	0.00	2	3883605	56.9	91.73	3683	1007105	1007105	1007105	305976	1007105	1007105	28216
Halomonas_elongata_DSM_2581_genomic	2746	species	species	98.76	99.83	0.43	1	4061297	63.6	89.70	3747	2746	2746	2746	2745	2746	2746	1236
Ruegeria_pomeroyi_DSS-3_genomic	89184	species	species	100.00	99.36	0.00	2	4109437	64.1	90.34	4393	89184	89184	89184	1	89184	89184	31989
Vibrio_natriegens_strain_CCUG_16373_genomic	662	genus	genus	100.00	99.87	3.41	2	3498249	44.9	85.52	4914	662	1116375	691	1	1116375	1116375	662
Muricauda_ruestringensis_DSM_13258_genomic	111501	species	species	100.00	99.34	0.83	1	3842423	41.4	90.61	3478	111501	111501	111501	111500	111501	111501	1
Francisella_noatunensis_subsp_orientalis_strain_FNO190_genomic	657445	species	species	100.00	99.43	0.57	1	1859596	32.3	87.24	2173	657445	657445	657445	1	657445	657445	1236
Ruegeria_sp_TM1040_genomic	292414	species	species	100.00	99.82	0.00	3	3200938	60.1	88.44	3916	292414	292414	292414	97050	292414	292414	31989
Shewanella_sp_W3-18-1_genomic	22	genus	genus	100.00	99.94	0.00	1	4708381	44.6	85.86	4160	22	24	351745	22	24	24	135622
Ferrimonas_balearica_DSM_9799_genomic	44012	species	species	100.00	100.00	0.00	1	4279160	60.2	88.97	3800	44012	44012	44012	44011	44012	44012	1236
Thermovirga_lienii_DSM_17291_genomic	336261	species	species	100.00	100.00	0.00	2	1967774	47.1	92.50	1941	336261	336261	336261	336260	336261	336261	2
Streptomyces_pactum_strain_KLBMP_5084_genomic	1883	genus	genus	100.00	98.55	0.00	1	8180261	72.4	87.42	7250	1883	47716	68249	1	47716	47716	2062
Thermococcus_sp_AM4_genomic	246969	species	species	100.00	100.00	0.00	1	2086429	54.8	92.85	2274	246969	246969	246969	2157	246969	246969	28890
Erythrobacter_litoralis_HTCC2594_genomic	39960	species	species	100.00	99.59	0.00	1	3052399	63.1	91.73	2964	39960	39960	39960	1041	39960	39960	204457
Vibrio_cholerae_strain_Env-390_genomic	666	species	species	100.00	99.64	0.05	2	2925022	47.6	86.81	3600	666	666	666	662	666	666	662
Vw1_S1_contigs	80852	species	species	99.98	99.43	1.22	204	111684	38.4	87.29	4216	80852	80852	80852	1	511678	511678	641
Candidatus_Nitrosopumilus_koreensis_AR1_genomic	338191	genus	genus	99.97	94.66	0.00	1	1639965	34.2	90.15	2031	338191	1510466	1027374	338191	1510466	1510466	2157
Glaciecola_nitratireducens_FR1064_genomic	300231	species	species	100.00	100.00	0.90	1	4134230	42.3	88.63	3497	300231	300231	300231	89404	300231	300231	1236
Citromicrobium_sp_JL477_genomic	204457	order	order	100.00	99.59	0.00	1	3258500	65.0	91.74	3166	204457	72174	1634516	1041	72174	72174	204457
Shewanella_baltica_OS185_genomic	62322	species	species	100.00	99.84	0.00	2	5229686	46.3	84.35	4565	62322	62322	62322	22	62322	62322	135622
A-Hdes-20-1_S13_contigs	80852	species	species	96.53	99.86	0.90	516	58359	38.1	85.27	4551	80852	80852	80852	1236	511678	511678	641
Marinobacter_sp_BSs20148_genomic	490759	species	species	100.00	99.78	0.43	1	4063865	54.1	89.20	3755	490759	490759	490759	2742	490759	490759	1236
Streptococcus_iniae_strain_ISET0901_genomic	1346	species	species	99.96	98.87	0.38	1	2070823	36.8	88.55	1987	1346	1346	1346	1	1346	1346	186826
Vibrio_fischeri_ES114_genomic	668	species	species	100.00	99.80	0.00	3	2897536	38.3	87.17	3819	668	668	668	1	668	668	641
Methanotorris_igneus_Kol_5_genomic	2189	species	species	100.00	99.52	0.00	1	1854198	32.3	83.01	1822	2189	2189	2189	196119	2189	2189	28890
A-2013-70-F524-1_S1_contigs	645	species	species	99.70	100.00	0.54	703	47990	58.9	85.96	4730	645	645	645	2	645	645	1236
Staphylothermus_marinus_F1_genomic	2280	species	species	100.00	98.73	0.00	1	1570486	35.7	88.84	1659	2280	2280	2280	2279	2280	2280	183924
Titti20_S7_contigs	67572	genus	genus	86.90	100.00	3.29	509	118704	36.7	80.80	4165	67572	67572	1	1	135622	67572	1236
Candidatus_Endolissoclinum_patella_L2_genomic	41295	family	family	100.00	80.94	0.00	1	1481192	34.1	57.41	796	41295	1263979	1263979	526215	1263979	1263979	28211
Psychrobacter_sp_AntiMn-1_genomic	1720344	species	species	100.00	100.00	0.55	1	3138121	43.9	82.57	2694	1720344	1720344	1720344	497	497	497	72274
MR4-96-2A_S5_contigs	286	genus	genus	91.02	100.00	0.43	111	276367	58.9	88.50	5786	286	286	1	286	286	286	72274
T-211_S5_contigs	669041	species	species	98.61	98.77	0.00	246	50324	30.4	89.03	2466	669041	669041	669041	2	49546	49546	49546
Titti25_S5_contigs	294	species	species	99.10	100.00	1.02	223	294693	60.6	88.25	5553	294	294	294	286	294	294	72274
Desulfovibrio_desulfuricans_ND132_genomic	876	species	species	100.00	100.00	0.59	1	3858581	65.2	88.36	3472	876	876	876	872	876	876	28221
Alteromonas_macleodii_str_English_Channel_673_genomic	28108	species	species	100.00	99.88	0.24	1	4601786	44.8	88.09	3925	28108	28108	28108	1	28108	28108	1236
S19_S6_contigs	286	genus	genus	83.23	99.86	0.95	166	106472	55.7	89.11	4372	286	286	1	286	286	286	1236
Microbacterium_sp_LKL04_genomic	1760	class	class	100.00	99.49	0.67	2	2922023	69.7	93.15	2799	1760	199592	912630	33882	199592	199592	2037
Shewanella_sp_MR-7_genomic	22	genus	genus	100.00	99.84	0.00	2	4792610	47.9	85.93	4132	22	94122	60481	22	94122	94122	135622
Methanocaldococcus_fervens_AG86_genomic	83171	species	species	100.00	99.52	0.00	2	1485061	32.2	90.52	1640	83171	83171	83171	196118	83171	83171	28890
Thermosediminibacter_oceani_DSM_16646_genomic	291990	species	species	100.00	95.19	0.00	1	2280036	46.8	88.86	2307	291990	291990	291990	291988	291990	291990	1239
R2A19_S7_contigs	2	superkingdom	superkingdom	95.05	100.00	18.33	963	148792	41.6	83.97	3933	2	1298608	888436	59732	1298608	1298608	2
Vibrio_alginolyticus_strain_ATCC_33787_genomic	663	species	species	100.00	99.96	0.95	5	3362673	44.5	85.95	5241	663	663	663	1	663	663	662
Thermotoga_maritima_strain_Tma100_genomic	2336	species	species	100.00	100.00	3.51	1	1869611	46.2	94.99	1851	2336	2336	2336	2335	2336	2336	2
Myroides_profundi_D25_genomic	76831	genus	genus	100.00	99.65	0.29	1	4064535	33.8	86.11	3580	76831	76832	480520	1	76832	76832	49546
Planococcus_plakortidis_strain_DSM_23997_genomic	1	NA	NA	100.00	99.34	0.00	1	3275844	50.0	86.23	3273	1	1038856	1038856	40929	1385	186818	91061
Filomicrobium_sp_W1_genomic	1608628	species	species	100.00	98.25	0.65	1	3969933	57.3	87.47	3742	1608628	1608628	1608628	119044	356	356	356
Francisella_noatunensis_subsp_orientalis_LADL-07-285A_genomic	657445	species	species	100.00	98.85	0.57	1	1858987	32.3	86.96	2200	657445	657445	657445	1	657445	657445	1236
T-218_S8_contigs	669041	species	species	98.62	98.77	0.17	281	44628	30.4	89.06	2538	669041	669041	669041	2	49546	49546	49546
Streptomyces_sp_CNQ-509_genomic	1760	class	class	100.00	100.00	1.58	1	8039334	73.1	88.08	6899	1760	1169161	444103	1883	1169161	1169161	2037
S21_S7_contigs	1270	species	species	98.22	98.70	0.23	215	126209	72.9	89.06	2329	1270	1270	1269	1	1270	1270	1268
Agrococcus_jejuensis_strain_DSM_22002_genomic	1760	class	class	100.00	98.99	0.96	2	3400078	72.6	92.26	3247	1760	399736	399736	46352	85023	85023	2037
Thermaerobacter_marianensis_DSM_12885_genomic	73919	species	species	100.00	96.04	0.50	1	2844697	72.5	85.16	2383	73919	73919	73919	73918	73919	73919	1239
Dokdonia_sp_MED134_genomic	313590	species	species	100.00	99.62	0.00	1	3302549	38.2	91.19	2904	313590	313590	313590	326319	313590	313590	1
Shewanella_frigidimarina_NCIMB_400_genomic	56812	species	species	100.00	99.84	0.37	1	4845258	41.6	84.54	4124	56812	56812	56812	22	56812	56812	135622
Owenweeksia_hongkongensis_DSM_17368_genomic	253245	species	species	100.00	100.00	0.00	1	4000058	40.2	91.55	3512	253245	253245	253245	2	253245	253245	2
V-H1309-2-2_S2_contigs	212663	species	species	98.39	100.00	1.21	214	166650	43.8	84.43	4762	212663	212663	662	1236	212663	212663	662
Nitrosococcus_watsonii_C-113_genomic	473531	species	species	100.00	100.00	8.62	3	3328570	50.1	87.32	3167	473531	473531	473531	1227	473531	473531	2
Aeropyrum_pernix_K1_genomic	56636	species	genus	85.43	97.78	0.95	1	1669697	56.3	88.70	1718	56636	56636	1	1	56636	56636	183924
20_S10_contigs	1055815	species	species	88.89	99.95	1.00	100	206357	42.4	83.16	2911	1055815	1055815	1	1236	1055815	497	72274
Alteromonas_stellipolaris_strain_PQQ-42_genomic	226	genus	genus	100.00	99.84	0.28	1	4755741	43.6	88.28	4053	226	715451	233316	226	715451	715451	1236
10_S9_contigs	206041	species	species	89.92	99.65	0.74	182	144111	30.0	91.00	3291	206041	206041	1	237	206041	237	49546
Candidatus_Thioglobus_singularis_strain_GG2_genomic	655184	genus	genus	100.00	96.36	0.00	785	43598	38.1	86.65	1646	655184	1007115	1427364	1	1007115	1007115	1224
A-Hdes-19_S12_contigs	80852	species	species	98.55	99.57	1.24	490	81720	38.3	86.73	4594	80852	80852	80852	1236	511678	511678	641
Shewanella_sp_ANA-3_genomic	94122	species	species	100.00	99.84	0.04	2	4972204	47.9	86.47	4531	94122	94122	94122	1	94122	94122	135622
VSalmN5541_S14_contigs	40269	species	species	99.84	99.11	0.71	412	27504	38.9	85.82	3939	40269	40269	40269	1236	40269	40269	641
Nocardiopsis_dassonvillei_strain_NOCA502F_genomic	1760	class	class	100.00	100.00	0.55	1	6585442	72.7	84.98	5575	1760	2014	2014	2013	2014	2014	2037
Croceibacter_atlanticus_HTCC2559_genomic	313588	species	species	100.00	99.62	0.19	1	2952963	33.9	92.77	2680	313588	313588	313588	216431	313588	313588	1
Cyclobacterium_amurskyense_strain_KCTC_12363_genomic	68288	genus	genus	100.00	100.00	0.30	1	6158830	38.3	85.74	4937	68288	1350429	320787	68288	1350429	1350429	768507
Yangia_sp_CCB-MM3_genomic	1792508	species	species	100.00	99.40	1.98	7	2902170	65.0	88.21	5089	1792508	1792508	1792508	31989	31989	31989	31989
Synechococcus_sp_CC9311_genomic	64471	species	species	100.00	99.73	0.00	1	2606749	52.4	87.32	2879	64471	64471	64471	1117	64471	64471	1117
SP041-1_S1_contigs	1236	class	class	99.02	100.00	18.14	1671	101412	39.3	80.60	5861	1236	1365007	1365007	2	286	135622	1236
Oleispira_antarctica_RB-8_genomic	188908	species	species	100.00	99.71	1.40	1	4406384	42.2	89.23	3959	188908	188908	188908	188907	1236	1236	1236
A-H1309-5II_S9_contigs	80852	species	species	97.31	99.84	0.85	382	74033	38.3	86.56	4350	80852	80852	80852	2	511678	511678	641
12_S1_contigs	511678	genus	genus	90.62	99.91	1.05	442	71579	38.8	87.35	4636	511678	511678	1	2	511678	511678	641
LF22_S6_contigs	1760	class	class	98.46	99.94	1.26	143	576991	62.3	90.79	6790	1760	1833	1827	2037	1833	1833	2037
Hyphomonas_neptunium_ATCC_15444_genomic	81032	species	species	100.00	99.68	0.00	1	3705022	61.9	90.91	3503	81032	81032	81032	1	81032	81032	28211
Methanococcus_maripaludis_C6_genomic	39152	species	species	100.00	99.98	0.00	1	1744194	33.4	88.24	1869	39152	39152	39152	2184	39152	39152	28890
B9-25K2_S3_contigs	662	genus	genus	76.99	98.21	3.76	108	292472	41.5	87.22	4901	662	662	1	1236	662	662	641
Candidatus_Nitrosopumilus_sp_NF5_genomic	1580092	species	species	100.00	100.00	0.00	1	1803091	33.4	90.19	2210	1580092	1580092	1580092	338191	338191	338191	2157
V34_S3_contigs	29497	species	species	99.15	99.86	0.66	137	759710	44.2	85.53	4690	29497	29497	29497	2	662	662	641
Methanohalophilus_halophilus_strain_Z-7982_genomic	2175	genus	genus	100.00	99.51	0.00	1	2022960	42.4	89.85	2038	2175	2176	2177	2175	2176	2176	28890
33_S3_contigs	59732	genus	genus	79.64	100.00	1.88	158	190965	33.4	88.49	2959	59732	59732	1	59732	49546	59732	200644
Pelobacter_acetylenicus_strain_DSM_3247_genomic	18	genus	genus	100.00	99.35	0.65	2	3176263	57.4	87.60	2900	18	18	29542	18	28221	19	28221
Thermosipho_melanesiensis_BI429_genomic	46541	species	species	100.00	98.28	0.00	1	1915239	31.4	92.23	1929	46541	46541	46541	1	46541	46541	2
Vibrio_sp_EJY3_genomic	1116375	species	species	100.00	99.87	3.13	2	3478307	44.9	85.49	4804	1116375	1116375	1116375	1	1116375	1116375	662
Marinitoga_sp_1137_genomic	160798	genus	genus	100.00	98.28	1.72	1	2290182	29.2	92.47	2136	160798	149715	1545835	1	149715	149715	2
Thermotoga_maritima_MSB8_3_genomic	2336	species	species	100.00	100.00	3.51	1	1869611	46.2	94.99	1850	2336	2336	2336	2335	2336	2336	2
Moritella_viscosa_06_09_139_genomic	58050	genus	genus	100.00	100.00	1.62	3	5086074	39.4	85.41	4576	58050	58050	80854	58050	58051	58050	1236
Denitrovibrio_acetiphilus_DSM_12809_genomic	118000	species	species	100.00	98.22	0.86	1	3222078	42.5	91.23	3021	118000	118000	118000	1	118000	118000	2
Bacillus_sp_Alg07_genomic	1	NA	NA	100.00	98.97	1.91	2	4344873	36.5	79.31	4162	1	1547283	1547283	1	1386	1386	55087
Hahella_chejuensis_KCTC_2396_genomic	158327	species	species	100.00	99.86	1.06	1	7215268	53.9	87.69	6388	158327	158327	158327	158481	158327	158327	1236
Haliangium_ochraceum_DSM_14365_genomic	80816	species	species	100.00	98.39	2.93	1	9446315	69.5	88.57	6868	80816	80816	80816	162027	80816	80816	28221
Pseudoalteromonas_haloplanktis_TAC125_genomic	228	species	species	100.00	100.00	0.34	2	3214944	40.1	86.94	3400	228	228	228	1	228	228	1236
Brucella_pinnipedialis_B2_94_genomic	234	genus	genus	100.00	99.64	0.44	2	2138342	57.2	86.41	3220	234	234	120576	1	235	234	356
Corynebacterium_marinum_DSM_44953_genomic	1760	class	class	100.00	99.89	0.44	3	2607268	67.8	90.19	2542	1760	349751	349751	1716	1716	1716	2037
Shewanella_loihica_PV-4_genomic	359303	species	species	100.00	99.70	0.31	1	4602595	53.7	85.74	3903	359303	359303	359303	1	359303	359303	135622
Candidatus_Gloeomargarita_lithophora_D10_genomic	1188228	species	species	100.00	98.29	0.00	87	82586	52.2	86.41	3055	1188228	1188228	1188228	1	1117	1117	2
U1_S23_contigs	1888	species	species	99.20	99.46	1.12	849	22628	73.4	86.76	6569	1888	1888	1883	2	1888	1888	2062
Titti33_S13_contigs	1760	class	class	98.69	98.68	0.00	142	229744	70.5	87.52	2398	1760	72000	1739337	2	72000	72000	2037
Cellulophaga_baltica_18_genomic	76594	species	species	100.00	99.67	0.71	1	4635106	34.7	90.47	3971	76594	76594	76594	1	76594	76594	1
Pyrobaculum_aerophilum_str_IM2_genomic	13773	species	genus	70.40	100.00	0.74	1	2222431	51.4	88.96	2631	13773	13773	1	2276	13773	13773	2157
Methanosarcina_siciliae_HI350_genomic	2207	genus	genus	99.28	99.84	0.65	1	4941116	43.1	76.40	4178	2207	2214	38027	2207	2214	2214	28890
Shewanella_sp_MR-4_genomic	22	genus	genus	100.00	99.84	0.00	1	4706288	47.9	86.08	4015	22	94122	60480	1	94122	94122	135622
Oceanobacillus_iheyensis_HTE831_genomic	182710	species	species	100.00	99.33	0.56	1	3630529	35.7	84.74	3554	182710	182710	182710	182709	182710	182710	91061
Photobacterium_profundum_SS9_genomic	74109	species	species	100.00	99.52	0.35	3	4085294	41.7	82.48	5823	74109	74109	74109	1	74109	74109	641
Salinibacter_ruber_M8_genomic	146919	species	species	100.00	96.51	1.74	5	3619447	65.9	84.65	3228	146919	146919	146919	1	146919	146919	2
Micromonospora_krabiensis_strain_DSM_45344_genomic	1760	class	class	100.00	98.95	1.05	2	7074738	72.8	89.15	6448	1760	307121	307121	1873	1873	1873	2037
Robiginitalea_biformata_HTCC2501_genomic	252307	species	species	100.00	99.01	0.11	1	3530384	55.3	91.55	3117	252307	252307	252307	252306	252307	252307	1
Candidatus_Thioglobus_singularis_PS1_genomic	655184	genus	genus	100.00	98.68	0.00	1	1714149	37.4	94.16	1722	655184	1007115	1427364	1	1007115	1007115	1224
Marinithermus_hydrothermalis_DSM_14884_genomic	186192	species	species	100.00	99.15	0.00	1	2269168	68.1	92.99	2265	186192	186192	186192	1	186192	186192	2
Candidatus_Vesicomyosocius_okutanii_HA_genomic	410330	species	species	100.00	93.54	0.00	1	1022155	31.6	85.64	976	410330	410330	410330	1	410330	410330	1224
Geobacillus_kaustophilus_HTA426_genomic	1462	species	species	100.00	99.45	0.00	2	3544776	52.0	85.34	3571	1462	1462	1462	129337	1462	1462	186817
Marinobacter_sp_Hb8_genomic	1874317	species	species	100.00	100.00	0.60	1	4121006	55.9	91.51	3803	1874317	1874317	1874317	1	2742	2742	1236
Phycisphaera_mikurensis_NBRC_102666_genomic	547188	species	species	100.00	95.45	0.00	2	3803225	73.2	88.55	3127	547188	547188	547188	1	547188	547188	2
Vw5_S4_contigs	80852	species	species	99.93	99.43	1.22	556	18010	38.7	87.77	4220	80852	80852	80852	1236	511678	511678	641
Cyanothece_sp_ATCC_51142_genomic	43989	species	species	100.00	99.96	0.00	6	4934271	37.9	85.89	5091	43989	43989	43989	1117	43989	43989	1117
Planococcus_donghaensis_strain_DSM_22276_genomic	414778	species	species	100.00	99.34	0.99	2	3305371	40.1	86.05	3162	414778	414778	414778	1	414778	414778	91061
Titti18_S5_contigs	56812	species	species	98.48	99.84	4.35	595	118290	41.5	84.58	4776	56812	56812	56812	1236	56812	56812	135622
GB02J45_S9_contigs	91347	order	order	99.05	99.98	1.86	228	72288	56.4	87.62	5029	91347	82996	82996	2	82996	82996	543
Oceanithermus_profundus_DSM_14977_genomic	187137	species	species	100.00	98.72	2.13	2	2303940	69.8	92.38	2384	187137	187137	187137	208447	187137	187137	2
Piscirickettsia_salmonis_strain_AY6532B_genomic	1238	species	species	100.00	98.53	0.00	5	3186791	39.7	82.68	3584	1238	1238	1238	1237	1238	1238	1236
Octadecabacter_antarcticus_307_genomic	1217908	species	species	100.00	99.39	0.35	2	4812600	54.6	85.69	5307	1217908	1217908	1217908	53945	1217908	1217908	31989
Synechococcus_sp_RCC307_genomic	316278	species	species	100.00	99.64	0.00	1	2224914	60.8	92.47	2540	316278	316278	316278	1117	316278	316278	1117
Vibrio_natriegens_strain_CCUG_16374_genomic	662	genus	genus	100.00	99.87	3.64	2	3460038	44.7	85.40	4834	662	1116375	691	1	1116375	1116375	662
Titti27_S7_contigs	49546	family	family	85.80	99.67	0.44	439	75316	34.8	88.43	3361	49546	49546	1	1	49546	49546	1
Wenzhouxiangella_marina_strain_KCTC_42284_genomic	1579979	species	species	100.00	99.64	1.14	1	3675203	65.3	91.03	3067	1579979	1579979	1579979	1236	1236	1236	1236
Ferroglobus_placidus_DSM_10642_genomic	54261	species	species	100.00	100.00	0.00	1	2196267	44.1	92.34	2599	54261	54261	54261	54260	54261	54261	28890
Marinobacter_hydrocarbonoclasticus_ATCC_49840_genomic	2743	species	species	100.00	100.00	0.07	1	3989481	57.4	91.59	3651	2743	2743	2743	2742	2743	2743	1236
Desulfobacterium_autotrophicum_HRM2_genomic	2296	species	species	100.00	99.35	1.29	2	5589073	48.8	87.99	4934	2296	2296	2296	1	2296	2296	28221
Rhodococcus_sp_B7740_genomic	1	NA	NA	100.00	99.50	1.32	1	5341558	64.9	92.28	5031	1	1828	1564114	1661425	1828	1828	2037
GB02J01_S11_contigs	82996	species	species	97.44	100.00	110.36	1961	57261	57.0	87.12	10368	82996	82996	82996	91347	82996	1236	1
Hyphomicrobium_nitrativorans_NL23_genomic	1427356	species	species	100.00	98.88	0.00	1	3653837	63.9	86.59	3423	1427356	1427356	1427356	81	1427356	1427356	356
Paraglaciecola_psychrophila_170_genomic	326544	species	species	100.00	98.46	1.06	1	5413692	40.4	82.64	5096	326544	326544	326544	1	326544	326544	1236
Magnetococcus_marinus_MC-1_genomic	1124597	species	species	100.00	98.32	0.84	1	4719582	54.2	87.16	3924	1124597	1124597	1124597	1	1124597	1124597	1224
Flavobacterium_psychrophilum_FPG101_genomic	96345	species	species	100.00	99.29	0.44	1	2835131	32.6	86.91	2486	96345	96345	96345	1	96345	96345	49546
Alteromonas_macleodii_AltDE1_genomic	314275	species	species	100.00	100.00	1.51	2	4643844	44.7	87.57	4379	314275	314275	314275	1	314275	314275	1236
Synechococcus_sp_CC9605_genomic	110662	species	species	100.00	99.73	0.00	1	2510660	59.2	87.86	2892	110662	110662	110662	1117	110662	110662	1117
Yersinia_aldovae_670-83_genomic	91347	order	order	100.00	100.00	0.00	1	4471091	47.7	84.91	3987	91347	29483	29483	1	29483	29483	543
Candidatus_Aquiluna_sp_UB-MaderosW2red_genomic	1760	class	class	100.00	98.10	0.00	2	1663804	51.9	92.87	1638	1760	1855377	1855377	1	1760	85023	2037
Vibrio_alginolyticus_strain_ZJ-T_genomic	663	species	species	100.00	100.00	0.25	2	3535128	44.7	86.32	4787	663	663	663	2	663	663	662
Mv130624_S1_contigs	58050	genus	genus	99.98	100.00	1.35	272	126903	39.3	85.99	4777	58050	58050	80854	1236	58051	58050	1236
Methylophaga_sp_JAM1_genomic	754476	species	species	100.00	100.00	0.76	1	3137192	44.7	89.93	2987	754476	754476	754476	1	754476	754476	1236
Streptococcus_agalactiae_strain_HN016_genomic	1311	species	species	100.00	100.00	0.00	1	2064723	35.7	87.70	1970	1311	1311	1311	1301	1311	1311	186826
Methanothermococcus_okinawensis_IH1_genomic	155863	species	species	100.00	99.05	0.00	2	1662525	29.3	83.89	1665	155863	155863	155863	155862	155863	155863	28890
Coraliomargarita_akajimensis_DSM_45221_genomic	395922	species	species	100.00	99.77	0.00	1	3750772	53.6	90.18	3146	395922	395922	395922	1	395922	395922	2
Lactococcus_garvieae_Lg2_genomic	1363	species	species	100.00	100.00	1.13	1	1963965	38.8	87.16	1949	1363	1363	1363	1	1363	1363	186826
VO5_S12_contigs	662	genus	genus	99.83	99.45	1.51	742	27951	44.7	85.77	3802	662	55601	28174	1	55601	55601	641
haloarchaeon_HSR6_genomic	1873524	species	species	100.00	96.09	1.06	1	2085947	63.6	90.91	2142	1873524	1873524	1873524	2236	183963	183963	2236
Edwardsiella_tarda_080813_genomic	91347	order	order	100.00	97.60	0.88	3	4200383	58.4	84.56	3822	91347	636	1821960	1	636	636	543
ukjent2_S9_contigs	511678	genus	genus	90.62	99.91	4.28	412	216689	39.0	87.02	4431	511678	511678	1	2	511678	511678	641
Brucella_ceti_TE28753-12_genomic	234	genus	genus	99.97	96.30	0.58	2	2117507	57.2	85.54	3565	234	234	120577	234	235	234	356
Pseudoalteromonas_sp_SM9913_genomic	234831	species	species	100.00	100.00	0.34	2	3332787	40.3	88.02	3604	234831	234831	234831	53246	234831	234831	1236
MR4-25-2A-1A_S4_contigs	286	genus	genus	91.02	100.00	0.43	112	276367	58.9	88.49	5794	286	286	1	286	286	286	72274
Vibrio_natriegens_NBRC_15636_ATCC_14048_DSM_759_genomic	662	genus	genus	100.00	99.87	3.56	2	3241530	45.1	85.78	4550	662	1116375	691	1	1116375	1116375	662
Thermococcus_sp_CL1_genomic	163003	species	species	100.00	100.00	0.00	1	1950314	55.8	91.18	2074	163003	163003	163003	2263	163003	163003	28890
Sulfurimonas_denitrificans_DSM_1251_genomic	39766	species	species	100.00	99.59	1.22	1	2201562	34.5	93.29	2166	39766	39766	39766	202746	39766	39766	2
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_22792_genomic	28901	species	species	100.00	99.85	0.08	2	4806964	52.1	87.13	4668	28901	28901	28901	590	28901	28901	543
Pseudomonas_sp_MT-1_genomic	286	genus	genus	100.00	100.00	0.14	16	900078	60.2	88.53	4510	286	316	150396	1	316	316	1236
Polaribacter_sp_Hel1_33_78_genomic	52959	genus	genus	100.00	98.88	1.57	2	3227823	30.9	89.71	2802	52959	1336803	1336804	1	1336803	1336803	49546
Titti19_S6_contigs	1476	species	species	98.30	98.68	3.21	372	179819	40.6	81.23	4700	1476	1476	1476	2	1385	186818	91061
Cyclobacterium_marinum_DSM_745_genomic	104	species	species	100.00	100.00	0.69	1	6221274	38.1	87.00	5114	104	104	104	68288	104	104	768507
Sulfitobacter_sp_AM1-D1_genomic	1917485	species	species	100.00	98.88	0.21	6	3840209	64.5	91.51	4555	1917485	1917485	1917485	1	31989	31989	31989
Marinomonas_sp_MWYL1_genomic	400668	species	species	100.00	100.00	0.52	1	5100345	42.6	88.31	4550	400668	400668	400668	1	400668	400668	135619
Vibrio_scophthalmi_strain_VS-12_genomic	45658	species	species	100.00	99.93	0.95	5	3266565	44.6	84.92	4447	45658	45658	45658	1	45658	662	662
Vw11_S2_contigs	80852	species	species	96.56	99.86	1.22	635	74978	38.1	85.29	4497	80852	80852	80852	2	511678	511678	641
