Genome	taxID	taxName	taxLvl	seqLvl	ANI	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
LjRoot152	286	Pseudomonas	genus	genus	90.85	100.00	0.30	0.00	5865110	66	197091	64.2	89.02	5246	286	286	1	1	286	286	72274
LjRoot193	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4126986	7	2202475	67.0	90.50	3852	32033	32033	1	1	1236	32033	32033
3937_A	1742993	Pseudarthrobacter	genus	genus	92.97	100.00	0.00	0.00	4302840	36	240410	65.8	90.11	3954	1742993	1742993	1	2	1268	1742993	1268
Chlamy49	1736474	Sphingopyxis sp. Root1497	species	species	96.88	99.93	1.78	0.00	4593453	8	869846	65.9	91.38	4364	1736474	1736474	1736474	165697	41297	165697	204457
LjRoot28	212743	Rhizobacter	genus	genus	83.82	100.00	1.74	0.00	5076287	81	441038	68.1	90.17	4601	212743	212743	1	212743	2	80840	80840
LjRoot191	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5028651	23	586230	65.0	89.86	4547	358220	358220	12916	1	358220	358220	80840
Chlamy80	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3463205	17	682252	67.5	89.95	3202	41275	41275	1	1	41275	41275	28211
Chlamy165	395598	Pseudomonas reinekei	species	species	95.83	100.00	0.54	0.00	6184071	50	246849	59.4	88.94	5554	395598	395598	395598	1	286	286	72274
3823_AX	286	Pseudomonas	genus	genus	88.42	99.03	0.92	0.00	6023422	81	150567	58.9	88.38	5501	286	286	1	1	286	286	72274
LjRoot95	12916	Acidovorax	genus	genus	99.47	99.62	0.57	0.00	6900878	129	277718	66.8	89.76	6386	12916	12916	12916	12916	80864	12916	80840
Chlamy10	135621	Pseudomonadaceae	family	family	95.35	100.00	185.18	0.66	17192619	80	393324	55.0	89.29	15439	135621	135621	135621	2	1224	1224	1
3934_CM	1690268	Acidovorax sp. SD340	species	species	96.88	99.62	1.28	20.00	5317277	36	399363	64.7	89.48	4862	1690268	1690268	1690268	12916	12916	12916	80840
3934_Y	294	Pseudomonas fluorescens	species	species	94.32	100.00	0.15	0.00	6574001	78	152570	60.9	87.71	5744	294	294	1	1	294	294	72274
Chlamy86	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655286	37	289675	65.3	89.18	4471	85413	85413	1	1	1224	85413	356
Chlamy45	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086038	19	435385	36.3	88.15	4518	59732	59732	59732	1	1	59732	200644
LjRoot47	1760	Actinobacteria	class	class	89.77	99.46	0.14	0.00	3767564	43	325289	70.8	91.29	3565	1760	136099	1	1	136099	136099	2037
Chlamy177	34072	Variovorax	genus	genus	85.80	99.77	0.85	40.00	5622140	19	552514	67.1	92.11	5252	34072	34072	1	34072	80840	80864	80840
Chlamy29	758826	Acidovorax radicis	species	species	98.82	99.94	0.90	0.00	5624531	19	756031	64.8	89.08	5084	758826	758826	12916	12916	758826	758826	80840
3934_BG	294	Pseudomonas fluorescens	species	species	94.21	100.00	0.16	0.00	6674356	70	190333	60.9	87.73	5819	294	294	1	286	294	294	72274
LjRoot107	358220	Acidovorax sp. KKS102	species	species	97.48	99.18	0.84	66.67	5551649	241	82026	64.6	89.35	5284	358220	358220	12916	1	358220	358220	80840
3934_BW	294	Pseudomonas fluorescens	species	species	97.20	100.00	0.11	0.00	6704893	71	163830	60.8	87.31	5895	294	294	286	1	294	294	72274
LjRoot92	43263	Pseudomonas alcaligenes	species	species	98.11	99.35	0.79	0.00	6877708	63	216576	66.2	88.79	6097	43263	43263	43263	1	43263	43263	72274
Chlamy109	106589	Cupriavidus	genus	genus	95.48	99.94	0.26	0.00	6080660	18	577094	66.7	89.62	5458	106589	106589	106589	1	119060	106589	119060
Chlamy41	2	Bacteria	superkingdom	superkingdom	97.65	98.98	100.08	85.15	13767445	761	38321	66.3	88.90	13061	2	106589	106589	59732	106589	106589	2
3823_AD	379	Rhizobium	genus	genus	90.74	99.66	1.14	7.69	7486156	33	367331	60.0	87.49	7288	379	379	1	1	379	379	82115
LjRoot105	12916	Acidovorax	genus	genus	92.52	99.81	0.38	0.00	5179085	24	585652	65.4	89.57	4645	12916	12916	1	12916	12916	12916	80840
Chlamy20	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	21	479181	66.7	89.89	5405	106589	106589	106589	106589	119060	106589	119060
LjRoot151	1224	Proteobacteria	phylum	phylum	99.85	100.00	0.88	0.00	6672815	101	184312	60.9	88.25	5932	1224	294	286	80864	294	294	72274
Chlamy106	286	Pseudomonas	genus	genus	96.69	100.00	100.00	0.00	11576705	52	431618	49.2	88.38	10275	286	286	2	286	286	286	1
3934_I	80840	Burkholderiales	order	order	91.84	99.84	1.40	0.00	6175764	50	271602	68.8	92.36	5437	80840	80840	1	1	2	80840	80840
LjRoot135	358220	Acidovorax sp. KKS102	species	species	95.73	99.56	0.24	0.00	5070706	37	388045	64.9	89.37	4607	358220	358220	12916	12916	358220	358220	80840
LjRoot142	1510531	Bosea sp. UNC402CLCol	species	species	92.01	99.58	1.10	0.00	5572651	27	880545	66.2	89.12	5347	1510531	1510531	1	1	356	1510531	356
Chlamy113	1268	Micrococcaceae	family	family	98.37	99.71	0.15	0.00	5066747	35	344131	62.6	90.34	4663	1268	29320	1268	1663	29320	29320	1268
LjRoot179	1882774	Variovorax sp. CF079	species	species	98.45	100.00	1.71	0.00	8214425	77	252744	66.5	90.73	8017	1882774	1882774	1882774	34072	28216	80864	80840
3934_CJ	1268	Micrococcaceae	family	family	91.17	98.56	1.33	100.00	4769039	387	21789	62.5	90.78	4678	1268	1742992	1	1663	1742992	1742992	1268
LjRoot153	44249	Paenibacillus	genus	genus	91.79	99.19	0.27	0.00	8429646	39	545484	44.7	87.92	7250	44249	44249	1	1385	1	44249	186822
3934_BQ	237	Flavobacterium	genus	genus	86.31	99.65	0.66	0.00	5323582	24	672826	33.9	89.28	4492	237	237	1	237	237	237	49546
LjRoot122	149698	Massilia	genus	genus	90.80	99.95	1.62	0.00	5765749	36	333932	65.5	91.06	5010	149698	149698	1	1	149698	149698	80840
Chlamy97	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086669	20	435385	36.3	88.14	4518	59732	59732	59732	1	1	59732	200644
Chlamy107	587753	Pseudomonas chlororaphis	species	species	98.52	100.00	0.11	0.00	6491898	27	501927	59.3	88.22	5741	587753	587753	135621	1	587753	587753	72274
LjRoot158	358220	Acidovorax sp. KKS102	species	species	97.65	99.56	0.02	0.00	5192571	27	374358	64.9	89.63	4772	358220	358220	12916	12916	358220	358220	80840
LjRoot178	1882774	Variovorax sp. CF079	species	species	98.45	100.00	1.71	0.00	8212502	80	249625	66.5	90.73	8017	1882774	1882774	1882774	34072	28216	80864	80840
Chlamy127	106589	Cupriavidus	genus	genus	98.83	99.89	0.23	0.00	5365780	55	221874	67.8	88.53	4760	106589	106589	106589	106589	119060	106589	119060
3934_G	12916	Acidovorax	genus	genus	98.47	99.87	0.38	0.00	5909901	33	412598	66.9	87.84	5232	12916	12916	12916	12916	12916	12916	80840
3934_BI	237	Flavobacterium	genus	genus	86.31	99.65	0.66	0.00	5325451	22	673540	33.9	89.28	4490	237	237	1	237	237	237	49546
Chlamy204	59732	Chryseobacterium	genus	genus	96.58	100.00	100.00	0.00	10699291	43	393324	52.5	90.53	9819	59732	59732	59732	2	2	2	1
3934_AM	82115	Rhizobiaceae	family	family	97.07	99.91	0.56	0.00	5734888	65	254722	59.0	87.39	5406	82115	357	1035271	1	357	357	82115
Chlamy11	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655174	36	289675	65.3	89.19	4473	85413	85413	1	85413	1224	85413	356
Chlamy203	59732	Chryseobacterium	genus	genus	96.58	100.00	100.00	0.00	10699932	45	374674	52.5	90.54	9824	59732	59732	59732	1	2	2	1
3934_BO	1760	Actinobacteria	class	class	94.79	100.00	171.36	20.00	13668470	557	109766	64.6	90.12	12864	1760	1760	1	2	2	1760	2
LjRoot149	1144313	Flavobacterium sp. CF136	species	species	97.74	99.65	0.25	0.00	5158255	19	464279	33.7	88.76	4253	1144313	1144313	1144313	237	1144313	1144313	49546
Chlamy134	1270	Micrococcus luteus	species	species	97.99	84.10	11.07	80.95	2582895	716	5238	72.5	90.09	2928	1270	1270	1268	1269	1270	1270	1268
LjRoot117	12916	Acidovorax	genus	genus	98.46	99.37	0.38	0.00	6098467	45	232420	66.5	87.27	5451	12916	12916	12916	12916	12916	12916	80840
Chlamy43	106589	Cupriavidus	genus	genus	98.87	99.89	0.69	0.00	5315227	52	280721	67.8	88.57	4687	106589	106589	106589	1	119060	106589	119060
Chlamy197	59732	Chryseobacterium	genus	genus	96.58	100.00	100.00	0.00	10698203	63	295184	52.5	90.54	9831	59732	59732	59732	1	2	2	1
3934_CK	1144338	Pseudomonas sp. GM79	species	species	95.81	100.00	0.57	0.00	6165189	61	165514	58.6	87.56	5522	1144338	1144338	286	1	1144338	286	72274
Chlamy47	758826	Acidovorax radicis	species	species	98.82	99.94	0.90	0.00	5623973	19	756031	64.8	89.09	5082	758826	758826	12916	12916	758826	758826	80840
3823_N	43263	Pseudomonas alcaligenes	species	species	98.06	99.68	0.90	0.00	6893426	71	157827	66.1	88.67	6136	43263	43263	43263	1	43263	43263	72274
LjRoot186	1760	Actinobacteria	class	class	98.71	99.49	0.67	0.00	4075123	14	817050	67.9	92.25	3950	1760	33882	33882	33882	85006	33882	2037
Chlamy63	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5995175	23	466709	66.7	89.90	5407	106589	106589	106589	106589	119060	106589	119060
Chlamy124	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086439	21	435385	36.3	88.15	4518	59732	59732	59732	59732	1	59732	200644
LjRoot88	12916	Acidovorax	genus	genus	98.08	99.79	15.48	52.87	7051560	732	155349	66.4	87.31	6933	12916	12916	12916	12916	12916	12916	80840
Chlamy172	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655600	38	289675	65.3	89.20	4472	85413	85413	1	1	1224	85413	356
LjRoot150	34073	Variovorax paradoxus	species	species	98.41	100.00	0.23	0.00	6759260	22	604447	67.5	91.97	6291	34073	34073	34073	34072	34073	34073	80840
3934_AJ	294	Pseudomonas fluorescens	species	species	97.23	100.00	0.11	0.00	6738140	74	146447	60.8	87.27	5914	294	294	286	286	294	294	72274
3823_H	1449076	Sphingomonas sp. UNC305MFCol5.2	species	species	92.80	99.66	1.05	0.00	4520579	5	2268544	66.0	90.96	4135	1449076	1449076	1	1224	1449076	1449076	204457
LjRoot7	69277	Phyllobacteriaceae	family	family	92.80	100.00	8.02	6.25	6623855	288	351038	62.6	87.87	6330	69277	69277	1	31988	69277	1116369	2
3934_BB	1268	Micrococcaceae	family	family	91.17	99.71	0.00	0.00	4781100	30	310716	62.5	90.74	4427	1268	29320	1	1663	29320	1742992	1268
Chlamy210	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5997204	22	466709	66.7	89.91	5409	106589	106589	106589	106589	119060	106589	119060
Chlamy9	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655221	37	293193	65.3	89.19	4470	85413	85413	1	1	1224	85413	356
Chlamy152	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5726488	71	184980	66.4	90.32	5060	149698	149698	1	1	149698	149698	80840
LjRoot69	34073	Variovorax paradoxus	species	species	98.67	100.00	0.47	0.00	6652092	35	330865	67.7	91.83	6224	34073	34073	34073	1	34073	34073	80840
LjRoot161	34073	Variovorax paradoxus	species	species	98.41	100.00	0.23	0.00	6757706	24	539615	67.5	91.99	6295	34073	34073	34073	1	34073	34073	80840
3934_X	294	Pseudomonas fluorescens	species	species	97.18	99.41	3.58	76.92	6679572	1182	8389	60.8	87.58	6654	294	294	286	286	294	294	72274
Chlamy105	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5995322	23	466709	66.7	89.89	5407	106589	106589	106589	106589	119060	106589	119060
Chlamy44	642	Aeromonas	genus	genus	98.09	99.89	0.00	0.00	4573642	42	207394	61.8	86.79	4110	642	642	73010	644	642	642	1236
LjRoot159	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6642302	54	240622	60.9	88.50	5853	294	294	286	1	294	294	72274
3934_BT	1385	Bacillales	order	order	96.82	100.00	100.00	8.93	11033809	27	1011864	46.7	87.36	10140	1385	1385	1386	1385	1385	44249	1
3823_AT	286	Pseudomonas	genus	genus	97.28	99.68	0.43	0.00	6694376	70	199115	59.4	87.40	6009	286	286	2135756	286	1207075	286	72274
3934_BF	75682	Oxalobacteraceae	family	family	93.68	99.94	2.32	9.09	7397446	49	275133	66.7	92.17	6268	75682	75682	1	2	80840	75682	80840
LjRoot24	1760	Actinobacteria	class	class	89.63	99.46	1.49	0.00	3823290	71	548507	70.7	91.38	3624	1760	136099	1	1	136099	136099	2037
LjRoot202	41275	Brevundimonas	genus	genus	88.12	99.19	0.00	0.00	2815256	13	315566	69.6	91.78	2906	41275	41275	1	41275	28211	41275	28211
LjRoot25	963	Herbaspirillum	genus	genus	94.14	99.51	1.45	0.00	5265100	48	509045	60.6	88.74	4775	963	963	1	1	963	963	80840
LjRoot177	46913	Devosia	genus	genus	87.43	99.66	0.82	0.00	4243840	2	2856691	64.0	89.76	4104	46913	46913	1	1	1	46913	356
Chlamy201	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5615258	19	442426	67.1	92.10	5243	80864	80864	1	1	80840	80864	80840
Chlamy183	106589	Cupriavidus	genus	genus	95.51	99.94	0.31	0.00	5998578	32	453195	66.7	89.80	5424	106589	106589	106589	106589	119060	106589	119060
LjRoot48	1760	Actinobacteria	class	class	89.77	99.46	0.14	0.00	3752069	24	436521	70.9	91.59	3557	1760	136099	1	2	136099	136099	2037
LjRoot124	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5030765	20	477250	65.0	89.83	4548	358220	358220	12916	12916	358220	358220	80840
3934_Z	59732	Chryseobacterium	genus	genus	96.99	100.00	0.00	0.00	4105531	23	258756	34.2	88.88	3727	59732	59732	59732	59732	1	59732	200644
Chlamy126	106589	Cupriavidus	genus	genus	98.83	99.89	0.23	0.00	5365780	55	221874	67.8	88.53	4760	106589	106589	106589	106589	119060	106589	119060
Chlamy38	106589	Cupriavidus	genus	genus	95.32	99.94	0.23	0.00	6157900	34	437358	66.6	89.69	5586	106589	106589	106589	106589	119060	106589	119060
LjRoot18	135614	Xanthomonadales	order	order	88.62	100.00	1.94	0.00	4089646	54	429175	67.6	88.77	3657	135614	363848	1	231454	1775411	363848	32033
Chlamy167	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3465685	18	622684	67.5	89.92	3200	41275	41275	1	41275	41275	41275	28211
Chlamy8	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655245	37	289606	65.3	89.20	4472	85413	85413	1	1	1224	85413	356
Chlamy96	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996669	23	466709	66.7	89.90	5407	106589	106589	106589	106589	119060	106589	119060
LjRoot183	75682	Oxalobacteraceae	family	family	92.09	100.00	1.31	0.00	8082175	69	340506	64.2	90.18	6628	75682	75682	1	2	75682	75682	80840
3937_I	1760	Actinobacteria	class	class	95.21	100.00	1.25	0.00	4653659	23	324507	74.2	90.95	4034	1760	1710	157920	157920	157920	1710	2037
3934_L	435897	Lysobacter capsici	species	species	97.59	99.80	1.67	0.00	6366694	63	206058	66.1	83.74	5189	435897	435897	68	68	435897	435897	32033
Chlamy89	164546	Cupriavidus taiwanensis	species	species	94.19	99.48	0.03	0.00	6225866	78	144578	67.7	88.48	5590	164546	164546	1	1	164546	164546	119060
LjRoot26	1736315	Pseudorhodoferax sp. Leaf265	species	species	95.04	100.00	1.20	0.00	8095401	137	251702	69.0	92.17	7480	1736315	1736315	1736315	1	28216	80864	80840
LjRoot176	12916	Acidovorax	genus	genus	97.72	99.43	0.64	0.00	7133150	57	255480	66.6	89.82	6646	12916	12916	12916	1	80864	12916	80840
LjRoot141	12916	Acidovorax	genus	genus	96.34	100.00	95.83	89.09	12294373	96	280963	65.9	89.85	11276	12916	12916	12916	1	12916	12916	1
Chlamy42	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4656442	36	289675	65.3	89.21	4473	85413	85413	1	85413	1224	85413	356
LjRoot140	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5029479	22	586230	65.0	89.83	4546	358220	358220	12916	12916	358220	358220	80840
3823_AQ	85413	Bosea	genus	genus	88.01	99.37	0.94	0.00	5725882	47	252878	67.4	88.48	5419	85413	85413	1	1	356	85413	356
Chlamy66	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	30	448274	66.7	89.89	5413	106589	106589	106589	106589	119060	106589	119060
Chlamy114	106589	Cupriavidus	genus	genus	95.48	99.94	0.49	0.00	6085808	25	573077	66.7	89.61	5468	106589	106589	106589	1	119060	106589	119060
3934_AX	1760	Actinobacteria	class	class	89.92	100.00	0.29	0.00	6936888	39	365265	71.2	90.46	6087	1760	1760	1	2	1760	440482	2037
3934_Q	40323	Stenotrophomonas	genus	genus	92.52	99.80	0.04	0.00	4193056	14	855933	67.3	89.67	3588	40323	40323	1	40323	40323	40323	32033
LjRoot79	358220	Acidovorax sp. KKS102	species	species	97.64	99.56	0.02	0.00	5098914	30	305634	64.9	89.78	4617	358220	358220	12916	1	358220	358220	80840
3823_E	119060	Burkholderiaceae	family	family	99.03	99.95	0.40	0.00	7156009	77	178571	63.7	86.40	6444	119060	119060	119060	1	119060	119060	80840
3934_A	1760	Actinobacteria	class	class	98.88	99.49	0.00	0.00	3535548	5	1967178	68.5	92.93	3379	1760	1247714	33882	33882	1247714	1247714	2037
Chlamy141	1224	Proteobacteria	phylum	phylum	96.67	100.00	100.00	1.79	12220336	110	247815	62.6	89.28	10815	1224	286	135621	149698	1224	286	1
3934_H	40323	Stenotrophomonas	genus	genus	92.56	99.68	0.04	0.00	4186894	15	416402	67.3	89.81	3580	40323	40323	1	40323	40323	40323	32033
Chlamy37	106589	Cupriavidus	genus	genus	95.32	99.94	0.23	0.00	6160831	36	442096	66.6	89.68	5588	106589	106589	106589	1	119060	106589	119060
Chlamy164	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2730637	5	1123196	67.3	92.09	2722	407019	407019	1	13687	41297	407019	28211
LjRoot49	1760	Actinobacteria	class	class	93.04	100.00	0.27	0.00	4663649	22	511786	71.9	90.91	4239	1760	1172188	1	53355	1172188	1172188	2037
3934_T	435897	Lysobacter capsici	species	species	97.59	99.80	1.67	0.00	6365168	63	188628	66.1	83.73	5183	435897	435897	68	68	435897	435897	32033
LjRoot71	286	Pseudomonas	genus	genus	89.63	99.68	0.09	50.00	4389528	49	236593	60.7	89.82	4096	286	286	1	286	286	286	72274
LjRoot72	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5029698	20	477250	65.0	89.86	4547	358220	358220	12916	1	358220	358220	80840
Chlamy153	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5728723	61	175653	66.4	90.30	5048	149698	149698	1	149698	149698	149698	80840
Chlamy104	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5995322	23	466709	66.7	89.89	5407	106589	106589	106589	106589	119060	106589	119060
Chlamy90	587753	Pseudomonas chlororaphis	species	species	98.06	100.00	0.27	50.00	6795286	44	325149	59.1	88.56	6058	587753	587753	286	286	587753	587753	72274
LjRoot199	358220	Acidovorax sp. KKS102	species	species	97.65	99.56	0.02	0.00	5185712	29	374399	64.9	89.74	4769	358220	358220	12916	12916	358220	358220	80840
LjRoot45	1760	Actinobacteria	class	class	83.82	99.33	0.51	0.00	3319268	19	948704	69.5	91.70	3097	1760	1760	1	2	1760	33882	2037
Chlamy116	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086180	22	435385	36.3	88.16	4520	59732	59732	59732	1	1	59732	200644
Chlamy84	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5995217	23	506014	66.7	89.89	5405	106589	106589	106589	106589	119060	106589	119060
LjRoot15	1478	Bacillus simplex	species	species	99.16	98.91	2.27	0.00	5573008	82	204274	40.4	80.96	5471	1478	1478	1386	2	1478	1478	186817
3823_AW	311230	Paraburkholderia terrae	species	species	98.26	99.60	0.42	75.00	11672195	238	110499	61.7	83.03	10881	311230	311230	119060	2	311230	311230	80840
3934_AU	165697	Sphingopyxis	genus	genus	88.32	99.64	1.26	0.00	4370627	3	2188708	63.9	91.13	4118	165697	165697	1	165697	165697	165697	204457
Chlamy166	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5084804	21	377401	36.3	88.17	4516	59732	59732	59732	59732	1	59732	200644
Chlamy35	106589	Cupriavidus	genus	genus	95.30	99.94	0.23	0.00	6339561	119	390321	66.4	89.69	5835	106589	106589	106589	1	119060	106589	119060
Chlamy138	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3463742	15	622684	67.5	89.99	3201	41275	41275	1	1	41275	41275	28211
3934_CG	1760	Actinobacteria	class	class	98.88	99.49	0.00	0.00	3535383	8	1967238	68.5	92.93	3382	1760	1247714	33882	1	1247714	1247714	2037
3934_BN	237	Flavobacterium	genus	genus	86.14	99.65	1.77	0.00	5710440	325	672907	35.7	88.64	4995	237	237	1	2	237	237	49546
LjRoot66	12916	Acidovorax	genus	genus	97.53	99.43	0.38	0.00	7283570	67	215578	66.5	89.63	6739	12916	12916	12916	12916	80864	12916	80840
3934_CH	1144338	Pseudomonas sp. GM79	species	species	96.00	100.00	0.24	0.00	6070971	60	176267	58.7	87.50	5463	1144338	1144338	286	1	1144338	286	72274
3934_CI	68	Lysobacter	genus	genus	97.52	95.49	4.53	63.33	6188192	1358	6469	66.2	84.06	5959	68	435897	1736588	1	435897	435897	32033
Chlamy207	34072	Variovorax	genus	genus	85.80	99.77	0.85	40.00	5616550	23	373411	67.1	92.07	5245	34072	34072	1	34072	80840	80864	80840
Chlamy122	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5084604	23	359542	36.3	88.18	4519	59732	59732	59732	1	1	59732	200644
LjRoot139	34073	Variovorax paradoxus	species	species	98.73	100.00	0.47	0.00	6691917	30	369812	67.6	91.86	6244	34073	34073	34073	34072	34073	34073	80840
3823_G	20	Phenylobacterium	genus	genus	81.77	99.92	3.27	2.50	5696022	56	181500	68.7	88.94	5331	20	20	1	20	1	28211	28211
LjRoot42	1760	Actinobacteria	class	class	98.95	99.49	0.25	0.00	4009791	9	1293543	68.2	92.45	3844	1760	1452535	33882	33882	1452535	1452535	2037
3934_AV	294	Pseudomonas fluorescens	species	species	99.30	100.00	1.00	0.00	6629608	56	240435	60.9	88.21	5867	294	294	286	1	294	294	72274
3823_B	374	Bradyrhizobium	genus	genus	85.97	100.00	0.67	16.67	7634858	68	155298	62.7	86.39	7113	374	374	1	374	374	374	41294
LjRoot120	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5029324	21	586230	65.0	89.81	4545	358220	358220	12916	12916	358220	358220	80840
LjRoot70	75682	Oxalobacteraceae	family	family	92.41	99.92	1.25	0.00	6325341	20	873385	62.3	92.60	5752	75682	75682	1	1	1	75682	80840
Chlamy140	41275	Brevundimonas	genus	genus	90.32	93.59	65.72	89.74	6127476	1189	8933	67.4	90.21	6695	41275	41275	1	2	41275	41275	28211
LjRoot36	963	Herbaspirillum	genus	genus	94.14	99.51	0.81	0.00	5230097	27	389773	60.6	88.82	4743	963	963	1	2	963	963	80840
3934_AH	976	Bacteroidetes	phylum	phylum	90.85	100.00	23.51	0.00	9049252	933	372796	45.5	91.52	8381	976	976	1	2	1	976	2
Chlamy135	1478	Bacillus simplex	species	species	93.82	98.91	3.17	0.00	5683460	74	237813	39.7	80.27	5563	1478	1478	1	2	1478	1478	186817
Chlamy173	34072	Variovorax	genus	genus	85.80	99.77	0.85	40.00	5619412	18	552445	67.1	92.15	5250	34072	34072	1	34072	80840	80864	80840
LjRoot103	12916	Acidovorax	genus	genus	99.51	99.62	0.38	0.00	6766373	52	277748	66.8	90.07	6197	12916	12916	12916	1	80864	12916	80840
3934_AI	216778	Stenotrophomonas rhizophila	species	species	97.66	99.89	0.04	0.00	4265309	17	526911	66.7	89.65	3712	216778	216778	216778	1	40323	40323	32033
Chlamy39	40324	Stenotrophomonas maltophilia	species	species	98.82	99.83	0.04	0.00	4324883	32	245824	67.5	90.29	3872	40324	40324	40324	40323	40324	40324	32033
LjRoot87	358220	Acidovorax sp. KKS102	species	species	97.63	99.56	0.02	0.00	5107298	26	516737	64.9	89.79	4618	358220	358220	12916	1	358220	358220	80840
Chlamy178	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619749	20	444290	67.1	92.12	5253	80864	80864	1	1	80840	80864	80840
3823_M	69277	Phyllobacteriaceae	family	family	84.09	100.00	0.87	50.00	6335786	103	246531	56.6	87.25	6525	69277	69277	1	1	1	69277	28211
Chlamy143	106589	Cupriavidus	genus	genus	94.26	100.00	100.00	1.79	9718033	53	265098	66.9	89.86	8929	106589	106589	1	106589	1224	119060	1
Chlamy157	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3466940	24	251674	67.5	89.88	3205	41275	41275	1	41275	41275	41275	28211
Chlamy33	758826	Acidovorax radicis	species	species	97.85	100.00	98.28	0.00	8093295	105	1352487	67.3	89.62	7354	758826	758826	2	2	758826	758826	2
3937_Y	592361	Pseudomonas peli	species	species	96.69	99.35	1.07	0.00	4684096	74	2395225	59.5	90.10	4356	592361	592361	592361	286	286	286	72274
Chlamy184	2	Bacteria	superkingdom	superkingdom	96.54	100.00	101.56	0.00	10768406	330	84393	52.3	89.55	9748	2	2	59732	149698	2	2	1
Chlamy16	106589	Cupriavidus	genus	genus	97.69	100.00	104.17	93.10	14039959	124	274583	66.3	88.57	12805	106589	106589	106589	2	106589	106589	1
Chlamy34	758826	Acidovorax radicis	species	species	98.82	99.94	0.90	0.00	5624337	19	851636	64.8	89.11	5084	758826	758826	12916	1	758826	758826	80840
3934_AK	1760	Actinobacteria	class	class	98.61	86.13	6.03	88.24	3150518	1168	3132	68.4	92.73	3979	1760	1247714	33882	1	1247714	1247714	2037
Chlamy136	1478	Bacillus simplex	species	species	93.82	98.91	3.17	0.00	5683460	74	237813	39.7	80.27	5563	1478	1478	1	2	1478	1478	186817
LjRoot22	311230	Paraburkholderia terrae	species	species	98.33	99.55	0.97	7.14	11042028	390	70540	61.7	83.40	10230	311230	311230	119060	2	311230	311230	80840
Chlamy192	40324	Stenotrophomonas maltophilia	species	species	97.11	100.00	0.11	0.00	4583094	22	315146	66.2	89.24	4081	40324	40324	32033	40323	40324	40324	32033
LjNodule214	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7706896	55	493466	62.7	86.19	7338	71433	71433	1	1	71433	71433	356
Chlamy75	1736474	Sphingopyxis sp. Root1497	species	species	96.88	99.93	1.78	0.00	4593953	7	850436	65.9	91.37	4361	1736474	1736474	1736474	1	41297	165697	204457
LjRoot60	83618	Pseudoxanthomonas	genus	genus	89.63	99.61	0.94	20.00	4126986	7	2203309	67.0	90.50	3851	83618	83618	1	83618	1236	32033	32033
Chlamy91	40324	Stenotrophomonas maltophilia	species	species	98.82	100.00	0.04	0.00	4325034	31	245829	67.5	90.28	3873	40324	40324	40324	1224	40324	40324	32033
