	Genome	sum	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
168	Colwellia_sp_PAMC_20917_genomic.fasta	6.316951561	0	0	0	0.5714445857	0	0.8206550275	1.3475117518	2.1009991854	0.2595454288	1.2167955818
169	Confluentimicrobium_sp_EMB200-NS6_genomic.fasta	13.2165817505	2.0320338369	0	4.7457544159	1.7154119892	0.71214635	0.546126068	0.6746599759	0.4202521226	1.5587828309	0.8114141611
170	Coraliomargarita_akajimensis_DSM_45221_genomic.fasta	0.6737053065	0	0	0	0	0	0	0.6737053065	0	0	0
171	Corynebacterium_marinum_DSM_44953_genomic.fasta	0.380451924	0	0	0	0.380451924	0	0	0	0	0	0
172	Corynebacterium_maris_DSM_45190_genomic.fasta	1.0781769005	0	0	0	0.1888448687	0.3561323119	0.2736367974	0	0	0.2595629225	0
173	Corynebacterium_phocae_strain_M408_89_1_genomic.fasta	42.1136497791	2.0289141669	7.7709797398	5.3370530438	4.0007854911	2.4914899759	4.3781987361	3.7076318357	5.0430333065	2.0801534018	5.2754100815
174	Corynebacterium_sphenisci_DSM_44792_genomic.fasta	1.4815357638	0.4058262679	0.4831651765	0.5925443194	0	0	0	0	0	0	0
175	Corynebacterium_stationis_strain_622_DSM_20302_genomic.fasta	3.6017753964	0	0	0	1.5231078242	0.7115822815	0.2735454194	0.6731381851	0.4204016862	0	0
176	Croceibacter_atlanticus_HTCC2559_genomic.fasta	2.824011679	0	0	0	0.5332626924	0.3320508926	0.2545382384	0.3145992686	0.3909124496	0.2415140318	0.7571341056
177	Croceicoccus_naphthovorans_strain_PQ-2_genomic.fasta	1.968783219	0.4064064699	0	0.5933479019	0.189960407	0	0	0	0	0.7790684402	0
178	Cupriavidus_sp_USMAA1020_genomic.fasta	5.3885010912	0.4057547377	0.4857679462	0.5933479675	1.143597859	0.7121863777	0.5470030002	0.6745174823	0.4204017888	0	0.4059239318
179	Cyanothece_sp_ATCC_51142_genomic.fasta	2.9711772702	0	0.4860048151	0	0	0	1.3680558379	0.3370587164	0	0.7800579008	0
180	Cyclobacterium_amurskyense_strain_KCTC_12363_genomic.fasta	4.8377550606	0.40625411	1.9440130674	0.5932907711	0.5715322553	0.7116973516	0.2736373629	0.3373301423	0	0	0
181	Cyclobacterium_marinum_DSM_745_genomic.fasta	3.4545266773	0	0.486094488	0	0.1905588791	0	0	0	0	1.5599484929	1.2179248173
182	Cycloclasticus_sp_P1_genomic.fasta	233.3899135754	6.5024602068	19.4422012207	11.8669596854	15.4397680957	18.1600221901	28.7248952275	35.418169139	29.0059846413	30.6663347743	38.1631183946
183	Cycloclasticus_zancles_78-ME_genomic.fasta	182.7090286078	5.6887429738	9.7168925061	16.0140775906	20.0145249764	33.4642885925	22.4339808377	25.6308117794	16.8082002662	8.5811169281	24.356392157
184	Deferribacter_desulfuricans_SSM1_genomic.fasta	2.3971377157	0	0	0	0	0.3555963309	0.2735116208	1.3488899043	0.4191398597	0	0
185	Denitrovibrio_acetiphilus_DSM_12809_genomic.fasta	3.2921791465	0	0.485981407	0	0.3802639166	0.3555131192	0.27358928	0.3373301329	0.4204016787	1.0390996121	0
186	Desulfobacterium_autotrophicum_HRM2_genomic.fasta	54.8730322461	0	5.8326319691	1.1859323696	6.4803521097	1.0681553181	13.4076441249	7.7576439393	5.4637998665	3.1184663675	10.5584061814
187	Desulfobacula_toluolica_Tol2_genomic.fasta	77.1125526318	0.4058969131	10.6929925243	5.931562056	8.3874877691	7.1219556491	16.9635201175	15.1785597893	5.8832862695	2.0802765575	4.4670149864
188	Desulfocapsa_sulfexigens_DSM_10523_genomic.fasta	34.1039082016	0	4.8607455723	2.9654923446	2.6679695082	1.066708123	7.1113541823	7.4165832197	2.1019554305	1.0401380585	4.8729617625
189	Desulfococcus_multivorans_strain_DSM_2059_genomic.fasta	56.7584899223	7.7216799838	7.7768990439	7.1201770885	5.1440882973	3.916262064	3.8307045383	6.7449111191	4.2033325852	6.2408295551	4.0596056471
190	Desulfotalea_psychrophila_LSv54_genomic.fasta	128.8063487206	0	8.2636057968	3.5592811851	8.3849187146	2.4926838332	23.2591840443	17.5410334637	13.4528727592	9.6192352516	42.2335336721
191	Desulfotomaculum_reducens_MI-1_genomic.fasta	1.4582832262	0	1.4582832262	0	0	0	0	0	0	0	0
192	Desulfovibrio_africanus_str_Walvis_Bay_genomic.fasta	24.7245955573	2.0318987938	1.943334599	4.7445030216	3.2403481937	3.2048798546	1.9147596675	0.3373301258	3.7820046732	3.1194443089	0.4060923192
193	Desulfovibrio_desulfuricans_ND132_genomic.fasta	13.843085839	2.4380353814	0	2.9646193769	1.7153241049	1.4235157951	1.0937518222	1.0113137446	0.4198460522	1.5601258597	1.216553702
194	Desulfovibrio_hydrothermalis_AM13_genomic.fasta	63.6370509035	0.81145616	13.1244702851	5.3401325598	4.7638219344	0	9.5772193822	6.7440398904	8.3969792062	6.7592341958	8.1196972896
195	Desulfovibrio_piezophilus_strain_C1TLV30_genomic.fasta	32.8442148718	0	4.3748502166	1.7781121686	2.8594185183	0.3558169978	1.640785124	7.4172983235	7.9871610727	1.558232511	4.8725399393
196	Desulfovibrio_salexigens_DSM_2638_genomic.fasta	12.7710536597	0.8128136475	1.4582833704	0	0	0	0	0	1.6816076001	5.980215616	2.8381334257
197	Desulfurobacterium_thermolithotrophum_DSM_11699_genomic.fasta	2.4358576599	2.4358576599	0	0	0	0	0	0	0	0	0
198	Dinoroseobacter_shibae_DFL_12_genomic.fasta	12.7486595914	0	0.4854605241	0.5933473808	0.1903037415	0.7118490838	1.6404866238	2.0239389172	2.1016401799	3.3791420705	1.6224910698
199	Dokdonia_donghaensis_DSW-1_genomic.fasta	11.3859657645	0.2054244986	0.8631127721	0.6020303921	0.7246824097	0.4516353491	1.388207757	1.2831677517	2.2375856306	1.0549016453	2.5752175583
200	Dokdonia_sp_MED134_genomic.fasta	3.1399355467	0	0	0	0	0.7121953376	0.8201056214	1.3479751549	0	0.2596594328	0
201	Dokdonia_sp_PRO95_genomic.fasta	1.8862199919	0	0	0	0	0	0	0.2911193715	0	0.8955552987	0.6995453217
202	Donghicola_sp_JLT3646_genomic.fasta	0.562183609	0.0196491371	0	0.0717012391	0.0460744303	0.137236068	0.085128679	0.0243828506	0.0711229495	0.0188535123	0.0880347431
203	Draconibacterium_orientale_strain_FH5_genomic.fasta	23.1006189309	0	0.485529053	0	0.3811506299	0.7121732024	6.8393681232	4.0475772377	4.2035186151	1.5599252622	4.8713768074
204	Echinicola_vietnamensis_DSM_17526_genomic.fasta	2.578019312	0.4055277057	0.9715829467	0	0.3806034942	0	0.8203051654	0	0	0	0
205	Edwardsiella_piscicida_strain_S11-285_genomic.fasta	10.2193964603	0.4055796013	0	1.1853402085	1.5243994552	1.4238661413	0.5460029724	1.0119900132	0.4196132799	2.0790056861	1.6235991024
206	Edwardsiella_tarda_080813_genomic.fasta	1.377975094	0.4062616565	0.9717134375	0	0	0	0	0	0	0	0
207	Edwardsiella_tarda_EIB202_genomic.fasta	0.756505695	0	0	0	0	0	0	0.3366353265	0.4198703685	0	0
208	endosymbiont_of_unidentified_scaly_snail_isolate_Monju_genomic.fasta	7.3245272851	1.6256270787	1.4578040312	1.1846648651	0.5719011764	0.3550420362	0.2729936561	0.3359263365	1.2605336906	0.2600344143	0
209	Erythrobacter_gangjinensis_strain_JCM_15420_genomic.fasta	4.6933887276	0.4048849301	0	1.1866957657	0.571918331	0	0.2736371136	1.011989936	0.8381707274	0	0.4060919238
210	Erythrobacter_litoralis_HTCC2594_genomic.fasta	16.676386344	2.0314123416	1.9442412345	2.3714779752	1.9040246704	0.7121952274	1.9147922667	2.0212599991	1.2599004914	1.299616138	1.2174659997
211	Erythrobacter_litoralis_strain_DSM_8509_genomic.fasta	145.2205911752	15.8498680857	18.9519144947	29.0711152954	11.819061228	8.5463456148	11.4887665262	10.793766843	21.8598956004	8.3151560857	8.5247014013
212	Erythrobacter_sp_s21-N3_genomic.fasta	1.9591849638	0.4059388909	0.4860942362	0	0	1.0671518367	0	0	0	0	0
213	Ferrimonas_balearica_DSM_9799_genomic.fasta	40.7943921237	0	38.3952086391	0	0	0	1.6414824405	0.3372991428	0.4204019013	0	0
214	Ferroglobus_placidus_DSM_10642_genomic.fasta	0.8110671426	0	0	0	0	0	0	0	0	0	0.8110671426
215	Fervidobacterium_pennivorans_strain_DYC_genomic.fasta	1.0130373019	0	0	0.5928584628	0	0	0	0	0.4201788391	0	0
216	Fibrella_aestuarina_strain_BUZ_2_genomic.fasta	0.5472748334	0	0	0	0	0	0.5472748334	0	0	0	0
217	Filomicrobium_sp_W1_genomic.fasta	5.3884495039	1.6256275281	0	0.5933557719	0.5715934893	0.7116124115	0.5467858221	0.6740151367	0	0.2600345295	0.4054248148
218	Flammeovirga_sp_MY04_genomic.fasta	108.7218950506	3.6565168885	6.319204134	1.1857383337	5.9079064607	21.0094242124	15.5973374693	13.1546669687	12.1907250859	15.0812344808	14.6191410166
219	Flavobacteriaceae_bacterium_MAR_2010_188_genomic.fasta	3.4160796801	0	0	0.5924176649	0.5718838986	0.3557597934	0.5467245275	1.3492937957	0	0	0
220	Flavobacteriaceae_bacterium_UJ101_genomic.fasta	11.004727068	0	0.9714469734	0	0.5707261378	2.8485227099	1.6409279132	0.3363403931	1.6816076325	0.5193506624	2.4358046457
221	Flavobacterium_psychrophilum_FPG101_genomic.fasta	3.5472438487	0	0	0	0	0.3560974784	1.3678154554	1.0111462222	0	0	0.8121846927
222	Flavobacterium_psychrophilum_FPG3_genomic.fasta	8.8558821905	0	0	0	0.3809772783	2.1358936784	2.7332150182	2.3607188751	0.8401662794	0	0.4049110611
223	Flavobacterium_psychrophilum_strain_CSF259-93_genomic.fasta	4.6470333736	0	0	0.5932718455	1.9049999724	0.7119431069	0	0.336527695	0.8408035064	0.2594872474	0
224	Flavobacterium_psychrophilum_strain_MH1_genomic.fasta	2.3122807818	0	0.0889348486	0	0.1046372684	0.0651506985	0.3494561792	0.5554556771	0.4600097264	0.0945761885	0.5940601951
225	Flavobacterium_psychrophilum_strain_PG2_genomic.fasta	3.6888362162	0	0	0	0	2.490134271	0.2736372161	0	0	0.5200687404	0.4049959887
226	Flavobacterium_psychrophilum_strain_VQ50_genomic.fasta	26.6140242997	0.4061668669	0	2.9654059627	1.7155401869	1.4216834333	8.4815796665	4.0472098647	2.1020093193	1.8195969818	3.6548320176
227	Flavobacterium_psychrophilum_V3-5_genomic.fasta	0.1429829494	0	0	0.0299534362	0.0096237205	0	0.0276269162	0.0340553317	0.0212229631	0	0.0205005817
228	Flavobacterium_psychrophilum_V4-24_genomic.fasta	14.4845447305	0	0.4582438409	0.559869194	0.9012838479	0.6723241498	5.4316490513	2.8708977846	0.79511217	0.4908954304	2.3042692616
229	Flavobacterium_psychrophilum_v4-33_genomic.fasta	6.3835033659	0	0.9720462461	0.5931120658	0.3782918122	0	1.9134581296	1.6858368215	0.8407582907	0	0
230	Flavobacterium_sp_LPB0076_genomic.fasta	2.2947432643	0	0	0.593348035	0.7613595674	0	0	0	0.4204017684	0.5196338935	0
231	Flexibacter_litoralis_DSM_6794_genomic.fasta	4.8966635348	0.8122607148	0.4858887517	0	1.5242910733	0.3560977107	0.272959695	0	0	1.0394020496	0.4057635397
232	Flexistipes_sinusarabici_DSM_4947_genomic.fasta	6.3909200184	0	2.4254313421	0.5933477163	0	0.3559274137	0	1.349248058	1.2608977868	0	0.4060677015
233	Formosa_agariphila_KMM_3901_genomic.fasta	3.4907210873	0.8121847027	0	1.7775324234	0.3810121251	0	0	0	0	0.5199918361	0
234	Formosa_haliotis_strain_LMG_28520_genomic.fasta	15.6160034762	0.8128137337	0.9713679356	2.9667404586	5.9097245995	0	1.6413587991	1.0117411344	0.4197443357	0.2596248039	1.6228876757
235	Formosa_sp_Hel1_33_131_genomic.fasta	0.4313120371	0	0.0318471431	0.038517322	0.0376884854	0.2339940749	0.072129262	0	0	0.0171357497	0
236	Formosa_sp_Hel3_A1_48_genomic.fasta	10.5731915664	0	0.3454428688	2.1068712171	1.8986260541	1.0102903363	1.7506887086	1.9169810385	0.598125919	0.3699636243	0.5762017997
237	Francisella_noatunensis_subsp_orientalis_FNO12_genomic.fasta	0.7844714342	0	0	0	0.1896435003	0	0	0.3373296317	0	0.2574983022	0
238	Francisella_noatunensis_subsp_orientalis_FNO24_genomic.fasta	1.2594506968	0	0	0	0.1896684947	0	0	0	0	0.2588675541	0.810914648
239	Francisella_noatunensis_subsp_orientalis_LADL-07-285A_genomic.fasta	1.7830437851	0.8124861484	0.9705576367	0	0	0	0	0	0	0	0
240	Francisella_noatunensis_subsp_orientalis_strain_FNO01_genomic.fasta	6.4441387418	0	0.9703376275	0	0.7613116461	1.0676432429	1.0938461613	0.6738273531	0.838028294	1.0391444169	0
241	Francisella_noatunensis_subsp_orientalis_strain_FNO190_genomic.fasta	2.1005503346	0	0	0	0	0	0.5472742467	0.3349991073	0	0	1.2182769806
242	Francisella_sp_FSC1006_genomic.fasta	5.1201986321	0	2.4275337948	0	0.3809065332	0	0	0.6746597698	0.4204018079	0	1.2166967264
243	Francisella_sp_TX077310_genomic.fasta	3.6746323826	0	0.9721884526	0.5933475762	0.1904955797	0.3552382698	0.5468561442	0.3363174785	0.420154377	0.2600345046	0
244	GB02J24_S7_contigs.fasta	3.512723065	0	0	0	1.4486140742	0.8137434185	0.4169172351	0.5138775576	0.3195707796	0	0
245	GB02J33_S8_contigs.fasta	3.9768048066	0.405644285	0	0	1.3306517713	1.4203066008	0.8202021495	0	0	0	0
246	GB02J45_S9_contigs.fasta	6.9048714857	1.6169185597	0	1.1771098755	1.1347145877	1.0573348878	0	0	1.2526755661	0.2599829064	0.4061351025
247	GB02J46_S10_contigs.fasta	1.20624995	0	0	0	0.1907094652	0	0.2730246692	0.3365782197	0	0	0.4059375959
248	GB04J27_S10_contigs.fasta	0.7455990504	0	0.4859075903	0	0	0	0	0	0	0.2596914601	0
249	Geobacillus_kaustophilus_HTA426_genomic.fasta	7.2855040559	0.4064005932	0.9715431461	3.5587865505	0.7625582889	0	0.5471951617	0	0	1.0390203155	0
250	Geobacillus_sp_12AMOR1_genomic.fasta	3.6253996471	0.4062043875	0.4853385037	0.593114466	1.3344771947	0	0.5472746153	0	0	0.2589904799	0
251	Geoglobus_acetivorans_SBH6_genomic.fasta	0.6758212526	0	0.4855391398	0	0.1902821128	0	0	0	0	0	0
252	Geoglobus_ahangari_strain_234_genomic.fasta	2.8050126151	0	0.4851894871	0.5933475849	0.1906395932	0	0.2736368803	0.3364329804	0	0.5200684257	0.4056976635
253	Gillisia_sp_Hel1_33_143_genomic.fasta	2.6865421273	0	0	0.5631372513	0.1808014356	0	0.5192600132	0.6406013472	0.3990331588	0	0.3837089212
254	Glaciecola_nitratireducens_FR1064_genomic.fasta	23.975605131	1.2185393653	2.430219654	1.7800441678	5.3379108081	2.136583596	2.1880816984	2.3607276325	1.2611531047	3.6404077664	1.6219373378
255	Glaciecola_sp_4H-3-7+YE-5_genomic.fasta	12.8169138488	0	0	0.5933479952	1.9058862814	0.7118996023	2.736064389	4.3837739302	0	2.0800816969	0.4058599538
256	Gramella_forsetii_KT0803_genomic.fasta	5.3378145283	0.8127309814	0	1.1835572571	0	0	0	0	0.4190236269	1.2981327199	1.624369943
257	Gramella_sp_LPB0144_genomic.fasta	2.8353638435	0	0	0	0	0	0.546902034	1.3486392582	0.4197536666	0.5200688847	0
258	Gramella_sp_MAR_2010_102_genomic.fasta	9.1788128226	1.6236842001	0.4847615722	1.1852711652	1.7152259038	0.7119397537	0.820373679	0.3368622542	1.2612057717	1.0394885227	0
259	Gramella_sp_MAR_2010_147_genomic.fasta	0.2037881531	0	0	0	0.0385378385	0.0239103978	0.0184386421	0.0227304387	0.0283278836	0.017519876	0.0543230764
260	Hahella_chejuensis_KCTC_2396_genomic.fasta	17.8883952752	0.8117322877	0	0.5933480226	2.0970365896	0.712195583	2.4623810231	3.7105785953	0.8402019163	2.6000987074	4.0608225502
261	Halanaeroarchaeum_sulfurireducens_strain_M27-SA2_genomic.fasta	1.0281224637	0	0	0	0	0.3543615024	0	0.6737609613	0	0	0
262	Haliangium_ochraceum_DSM_14365_genomic.fasta	11.9255276793	0	11.6655110485	0	0	0	0	0	0	0.2600166308	0
263	haloarchaeon_HSR6_genomic.fasta	1.3162865595	0	0.4859792698	0	0.5719186537	0	0	0	0	0.258388636	0
264	Haloarcula_hispanica_ATCC_33960_genomic.fasta	1.8782199821	0	0.4849128767	0.5933435578	0.1906392946	0	0.2730180879	0.3363061651	0	0	0
265	Haloarcula_sp_CBA1115_genomic.fasta	1.7047346455	0	0	0	0	0	0.2733235867	1.0112199935	0.4201910653	0	0
266	Haloferax_gibbonsii_strain_ARA6_genomic.fasta	2.0363107398	0	0.4861163392	0	0	0	0.5472746274	0.3373296363	0	0.2598416978	0.4057484391
267	Haloferax_mediterranei_ATCC_33500_genomic.fasta	8.08082064	1.2192417461	2.9165901778	1.185772406	0.7616864052	0	0.8206641828	0.3364167052	0.8404490169	0	0
268	Halogeometricum_borinquense_DSM_11551_genomic.fasta	1.276369082	0	0	0	0.1905995942	0	0.273571493	0	0	0	0.8121979948
269	Halolamina_sediminis_strain_halo7_genomic.fasta	1.437374002	0.4058890093	0.4847480076	0	0.190639591	0.3560973941	0	0	0	0	0
270	Halolamina_sediminis_strain_Hb3_genomic.fasta	38.1444914236	0.4064068544	3.4025181919	4.1532450763	4.7642261672	4.9853683464	5.4725285082	5.0599518834	5.0434271135	3.6385417501	1.2182775322
271	Halomonas_elongata_DSM_2581_genomic.fasta	0.8818227281	0.0415670166	0.0367843081	0.1068099674	0.1030907122	0.0735590133	0.0777222153	0.1829159502	0.0651316562	0.1208411993	0.0734006895
272	Halomonas_sp_A3H3_genomic.fasta	35.2235588323	6.5020376943	4.8606008385	0.5929790486	4.3847125355	4.9849468778	2.4627372415	1.3480641594	3.7832561612	4.6798542279	1.6243700476
273	Halomonas_spR57-5_genomic.fasta	3.6218389359	0	0	0	3.6218389359	0	0	0	0	0	0
274	Haloquadratum_walsbyi_C23_genomic.fasta	9.0074424693	0.405786638	1.4551597818	1.1862709045	1.3329485226	0	0.2736372623	1.3493274144	0	2.5982201377	0.406091808
275	Haloquadratum_walsbyi_DSM_16790_genomic.fasta	1.7545174157	0	0.9722114059	0.5920351316	0.1902708782	0	0	0	0	0	0
276	Halorhabdus_tiamatea_SARL4B_genomic.fasta	11.7493742374	3.2510567641	0	1.1866957858	1.523608296	2.1321442228	1.3677650317	1.3493200125	0.4187153804	0.5200687441	0
277	Helicobacter_cetorum_MIT_00-7128_genomic.fasta	1.4577243545	0	1.4577243545	0	0	0	0	0	0	0	0
278	Helicobacter_cetorum_MIT_99-5656_genomic.fasta	0.3796793036	0	0	0	0.3796793036	0	0	0	0	0	0
279	Helicobacter_sp_MIT_01-6242_genomic.fasta	0.7610288746	0	0	0	0.7610288746	0	0	0	0	0	0
280	hermovibrio_ammonificans_HB-1_genomic.fasta	2.4864585766	0	0.4857703235	0.5929997096	0	0	0	0.3360039374	0	0.2596953613	0.8119892448
281	Hippea_maritima_DSM_10411_genomic.fasta	2.4085035035	1.6252541414	0	0.5926101446	0.1906392175	0	0	0	0	0	0
282	Hirschia_baltica_ATCC_49814_genomic.fasta	3.4791801961	0.5967506705	0.2382979084	0.8724391722	0.2803584064	0	0.1341385802	0.1653612948	0.4113561283	0.3823398392	0.3981381961
283	Hoeflea_sp_IMCC20628_genomic.fasta	4.3954733512	0.4064065609	0.9721308235	0	0.9526568739	0	0.2733761422	1.0112216967	0	0.779681254	0
284	Hydrogenophaga_sp_LPB0072_genomic.fasta	12.5936460447	3.6571645625	0.4858196574	3.5598842102	3.4305460634	0	0	0	0.4200932701	1.0401382811	0
285	Hyperthermus_butylicus_DSM_5456_genomic.fasta	794.4676858425	90.1996264315	81.648404716	103.2407699542	82.134433685	59.4271277451	59.6522987541	63.7537806718	91.9944450576	112.0746255317	50.3421732955
286	Hyphomicrobium_nitrativorans_NL23_genomic.fasta	61.8596765921	7.7208557139	10.2073999997	2.3713347445	5.1472246443	12.1017138691	3.8297332832	2.6983040846	7.5667618542	4.9371458176	5.279202581
287	Hyphomonas_neptunium_ATCC_15444_genomic.fasta	25.2951580314	1.2192205606	2.9154253335	3.5588420258	6.2854679405	4.9850440834	1.9154628502	1.3489339604	0.8408036444	1.8198653071	0.4060923255
288	Hyphomonas_sp_Mor2_genomic.fasta	5.1840055323	1.218889984	0	1.7794769262	0.5714706242	0	0	0.6741832897	0.4204016877	0.5195830205	0
289	Idiomarina_loihiensis_L2TR_genomic.fasta	1.5438842905	0.4053824174	0	0.5924941861	0.1900892432	0.3559184438	0	0	0	0	0
290	Ignicoccus_hospitalis_KIN4_I_genomic.fasta	2.1451940944	0	0.9710328553	0	0.1906393565	0.7121943926	0.27132749	0	0	0	0
291	Ignicoccus_islandicus_DSM_13165_genomic.fasta	6.624415899	2.841715394	1.4582820964	0.5923092642	0.3787468675	0	0.2736370383	0.674659506	0	0	0.4050657326
292	Ilumatobacter_coccineum_YM16-304_genomic.fasta	108.3782915426	18.6849135291	11.6650656228	6.5255725354	8.0052051869	15.3101237179	9.0297067481	7.0801514311	7.9874290451	3.3800604201	20.7100633061
293	Ilyobacter_polytropus_DSM_2926_genomic.fasta	23.8645311852	3.6517738478	1.4571283539	3.5574362732	1.3339440637	0.35513925	4.3748282021	5.7324451723	2.1016637854	1.3001722368	0
294	Jannaschia_sp_CCS1_genomic.fasta	6.0400120345	0	0.4860943904	0	0.38127905	1.4238973218	1.0936874014	0.6746601424	0.4204016757	1.5599920528	0
295	Kangiella_geojedonensis_strain_YCS-5_genomic.fasta	28.0586319649	2.4384406649	5.345778347	1.7780316386	0.9531981454	0.712195165	2.462736495	4.720906541	3.363214725	1.8184236966	4.4657065464
296	Kangiella_koreensis_DSM_16069_genomic.fasta	5.8870769132	0.8128134123	0	0.5931837673	0.3807825463	1.0682931088	1.0945494402	1.0119902219	0	0.5196376391	0.4058267773
297	Kangiella_sediminilitoris_strain_KCTC_23892_genomic.fasta	3.2025690856	1.2187636836	0.9709143033	0	0.1882481799	0	0	0	0.4198436707	0	0.4047992481
298	KCH3_S1_contigs.fasta	36.5055259455	7.6821952493	1.4484615247	5.3096069736	5.1186677299	6.0245609722	1.906760424	0.6739653232	2.9278276647	2.5882023788	2.8252777051
299	KH11J01_S12_contigs.fasta	4.7834950461	0.811504048	0	1.1026640075	0.381282361	0.9824369906	0	0	0.8398721333	0.2596936841	0.4060418216
300	Kosmotoga_olearia_TBF_1951_genomic.fasta	1.7767230044	0	0	0	0.7625582776	0	0	0.3358359465	0.4182944729	0.2600343074	0
301	Kosmotoga_pacifica_strain_SLHLJ1_genomic.fasta	1.8094027626	0	0	0.5911258264	0	0	0	0	0	0	1.2182769362
302	Krokinobacter_sp_4H-3-7-5_genomic.fasta	35.4794601406	0	1.8134512922	0	0.3544746687	6.9662686719	5.1025594736	4.4039077945	1.5674322727	3.1514327164	12.1199332506
303	Kytococcus_sedentarius_DSM_20547_genomic.fasta	5.5097929103	4.4665663683	0	0.5933479951	0.1902665147	0	0	0	0	0.2596120322	0
304	LAB19_S8_contigs.fasta	6.3891881971	0.4064035588	1.4535596927	0.5934172379	0.3802698707	1.4210946798	0	0	0.8395470971	1.2948960601	0
305	Lacimicrobium_alkaliphilum_strain_KCTC_32984_genomic.fasta	3.783452269	0	1.9443779123	0	0.3805963503	0	0.2727921301	0	0	0.7800127705	0.4056731058
306	Lacinutrix_sp_5H-3-7-4_genomic.fasta	42.471950619	2.8448480645	1.4574107092	7.7101183222	13.9156369106	3.5609415051	2.7351364569	1.6860339989	2.521058538	4.4176964227	1.6230696909
307	Lactococcus_garvieae_ATCC_49156_genomic.fasta	2.4832473221	0	0	0.5931668355	0.7614315104	0	0.272903018	0.3360724585	0	0.5196734997	0
308	Lactococcus_garvieae_Lg2_genomic.fasta	2.9820042619	0	0	0.5933476411	0.3805505699	0.3560974865	0	0	0.8398240295	0	0.8121845349
309	Leisingera_methylohalidivorans_DSM_14336_genomic.fasta	7.7610424173	1.6234927694	0	2.966335175	1.5251170878	0.3560974131	0.2732239991	0.3371081512	0.4201301355	0.2595376862	0
310	Leuconostoc_lactis_strain_WiKim40_genomic.fasta	4.7149569089	0.8125738925	0	1.1846230852	0.7616340524	0.3560967971	0	0.674214656	0	0.5197235008	0.4060909249
311	LF22_S6_contigs.fasta	4.0440809917	0.8123658318	0	0.5930848357	0.5713184409	0.3558066684	0.2735129367	0.3372021023	0.840757894	0.2600322819	0
312	Luteimonas_sp_JM171_genomic.fasta	14.6403640746	4.8766466133	0.9721887852	5.3400105736	0.9513951224	0	0	0	0.4203563482	2.0797666319	0
313	Magnetococcus_marinus_MC-1_genomic.fasta	27.5804586084	6.5003224862	4.859774658	2.9664211788	2.6689554287	0	0.2736373687	1.0114709311	2.101734857	5.9800925167	1.2180491832
314	Magnetospira_sp_QH-2_genomic.fasta	58.3212272518	1.5443674826	5.0778156788	5.6364730672	7.6066283171	6.4264626807	4.418974472	7.0502922857	6.3888328586	11.8567142544	2.3146661547
315	Maribacter_sp_1_2014MBL_MicDiv_genomic.fasta	12.5299940084	0	0	1.1860786815	0.9528244763	0.356097765	3.8306680225	1.6865775891	2.5204311198	0.7797810352	1.217535319
316	Maribacter_sp_HTCC2170_genomic.fasta	5.0725441762	0	1.4582834084	0	0.1900346534	1.4230770324	0.5465608322	0.6746600901	0	0.7799281597	0
317	Maribacter_sp_MAR_2009_60_genomic.fasta	15.9430021432	0	0	1.1867108645	1.7130377041	1.780075729	2.1889022618	4.3852919825	0.8399350082	1.8202024457	2.0288461474
318	Maricaulis_maris_MCS10_genomic.fasta	3.6161056476	0.6215503471	0.2467135738	0.9051603533	0.2915603597	0	0.1394982339	0.1715881798	0.4286396177	0.3976067307	0.4137882516
319	Marinithermus_hydrothermalis_DSM_14884_genomic.fasta	28.2083301016	12.1868098792	1.9437701395	7.1201753242	2.0969073246	0	0.5472745958	0.6737473823	0	3.639645456	0
320	Marinitoga_piezophila_KA3_genomic.fasta	6.8506905309	1.2184013321	1.456331405	0	0.3808670194	0.7112046807	0.5461276179	0.3360825091	1.6816073101	0.5200686566	0
321	Marinitoga_sp_1137_genomic.fasta	1.2177010386	0	0	0	0.1906394339	0.3533391669	0	0.6737224378	0	0	0
322	Marinobacter_adhaerens_HP15_genomic.fasta	2.4092098287	0.406102595	0	0	0	0.3553461661	0.5472744955	0	0.8404830809	0.2600034912	0
323	Marinobacter_aquaeolei_VT8_genomic.fasta	11.2712544535	0.8634356975	0	0.3152972229	1.0108053475	1.1346215283	2.4704973866	2.5092804811	0.4467922364	1.6578639987	0.8626605545
324	Marinobacter_hydrocarbonoclasticus_ATCC_49840_genomic.fasta	0.7767145651	0	0	0	0.1515352498	0.1879622938	0.0725026639	0.0891201136	0	0.275594244	0
325	Marinobacter_psychrophilus_strain_20041_genomic.fasta	4.5040241605	0	0	1.185760359	0	0	0.5469076911	1.685831634	0.4203788428	0.2595514728	0.4055941608
326	Marinobacter_salarius_R9SW1_genomic.fasta	41.0733453003	3.2501795178	4.374041299	2.9655949605	2.0970364557	0.7116084733	2.1885157108	2.3597054326	4.2037210608	10.3967594296	8.5261829602
327	Marinobacter_similis_A3d10_genomic.fasta	17.1022790581	0.4051910802	1.4575264399	0	0.953177107	1.7804072892	1.6415988644	3.034957646	0.4203743206	4.160473473	3.2485728378
328	Marinobacter_sp_BSs20148_genomic.fasta	18.0329851016	0.405438911	0.9712426471	1.7796056217	0.7618931731	3.5599521638	2.1885333297	2.0235251417	1.6808609538	1.8202418141	2.8416913456
